###### [1/10] of a280[1/48]
2023-06-14 15:08:07 -*- 2917
2023-06-14 15:08:07 -*- 2913
2023-06-14 15:08:08 -*- 2907
2023-06-14 15:08:08 -*- 2904
2023-06-14 15:08:08 -*- 2898
2023-06-14 15:08:08 -*- 2886
2023-06-14 15:08:08 -*- 2883
2023-06-14 15:08:13 -*- 2875
2023-06-14 15:08:13 -*- 2873
2023-06-14 15:08:18 -*- 2870
2023-06-14 15:08:19 -*- 2866
2023-06-14 15:08:19 -*- 2863
2023-06-14 15:08:24 -*- 2857
2023-06-14 15:08:25 -*- 2856
2023-06-14 15:08:26 -*- 2854
2023-06-14 15:08:26 -*- 2852
2023-06-14 15:08:29 -*- 2843
2023-06-14 15:08:30 -*- 2839
2023-06-14 15:08:31 -*- 2834
2023-06-14 15:08:33 -*- 2824
2023-06-14 15:08:35 -*- 2823
2023-06-14 15:08:35 -*- 2819
2023-06-14 15:08:37 -*- 2814
2023-06-14 15:08:40 -*- 2810
2023-06-14 15:08:42 -*- 2806
2023-06-14 15:08:50 -*- 2802
2023-06-14 15:08:52 -*- 2799
2023-06-14 15:08:57 -*- 2797
2023-06-14 15:08:59 -*- 2794
2023-06-14 15:09:03 -*- 2790
2023-06-14 15:09:08 -*- 2780
2023-06-14 15:09:08 -*- 2773
2023-06-14 15:09:15 -*- 2771
2023-06-14 15:09:23 -*- 2763
2023-06-14 15:09:24 -*- 2753
2023-06-14 15:09:31 -*- 2745
2023-06-14 15:09:37 -*- 2743
2023-06-14 15:09:51 -*- 2742
2023-06-14 15:10:00 -*- 2741
2023-06-14 15:10:05 -*- 2736
2023-06-14 15:10:16 -*- 2730
2023-06-14 15:10:19 -*- 2723
2023-06-14 15:10:22 -*- 2721
2023-06-14 15:10:31 -*- 2720
2023-06-14 15:10:37 -*- 2714
2023-06-14 15:11:49 -*- 2708
2023-06-14 15:12:28 -*- 2702
2023-06-14 15:13:25 -*- 2700
2023-06-14 15:13:27 -*- 2695
2023-06-14 15:18:06 --> opt-stimulated_annealing: 2695
###### [1/10] of a280[1/48]
2023-06-14 15:18:06 --> opt: 2579
2023-06-14 15:18:07 -*- 2941
2023-06-14 15:18:07 --> org-christofides: 2941
2023-06-14 15:18:07 -*- 2932
2023-06-14 15:18:07 -*- 2922
2023-06-14 15:18:07 -*- 2907
2023-06-14 15:18:08 -*- 2898
2023-06-14 15:18:08 -*- 2889
2023-06-14 15:18:08 -*- 2884
2023-06-14 15:18:09 -*- 2879
2023-06-14 15:18:10 -*- 2873
2023-06-14 15:18:10 -*- 2869
2023-06-14 15:18:11 -*- 2863
2023-06-14 15:18:12 -*- 2853
2023-06-14 15:18:12 -*- 2845
2023-06-14 15:18:12 -*- 2839
2023-06-14 15:18:16 -*- 2835
2023-06-14 15:18:17 -*- 2832
2023-06-14 15:18:18 -*- 2826
2023-06-14 15:18:19 -*- 2824
2023-06-14 15:18:22 -*- 2806
2023-06-14 15:18:23 -*- 2801
2023-06-14 15:18:28 -*- 2790
2023-06-14 15:18:28 -*- 2789
2023-06-14 15:18:32 -*- 2785
2023-06-14 15:18:32 -*- 2780
2023-06-14 15:18:34 -*- 2776
2023-06-14 15:18:35 -*- 2766
2023-06-14 15:18:38 -*- 2765
2023-06-14 15:18:41 -*- 2761
2023-06-14 15:18:46 -*- 2755
2023-06-14 15:18:50 -*- 2752
2023-06-14 15:19:01 -*- 2751
2023-06-14 15:19:06 -*- 2744
2023-06-14 15:19:14 -*- 2743
2023-06-14 15:19:24 -*- 2740
2023-06-14 15:19:27 -*- 2733
2023-06-14 15:19:32 -*- 2723
2023-06-14 15:19:46 -*- 2713
2023-06-14 15:19:48 -*- 2704
2023-06-14 15:19:49 -*- 2694
2023-06-14 15:19:51 -*- 2690
2023-06-14 15:20:55 -*- 2684
2023-06-14 15:25:28 -*- 2674
2023-06-14 15:28:07 --> opt-stimulated_annealing: 2674
###### [1/10] of a280[1/48]
2023-06-14 15:28:07 --> opt: 2579
2023-06-14 15:28:07 -*- 2941
2023-06-14 15:28:07 --> org-christofides: 2941
2023-06-14 15:28:08 -*- 2931
2023-06-14 15:28:08 -*- 2921
2023-06-14 15:28:08 -*- 2907
2023-06-14 15:28:08 -*- 2897
2023-06-14 15:28:08 -*- 2893
2023-06-14 15:28:09 -*- 2892
2023-06-14 15:28:10 -*- 2882
2023-06-14 15:28:12 -*- 2873
2023-06-14 15:28:12 -*- 2870
2023-06-14 15:28:13 -*- 2869
2023-06-14 15:28:13 -*- 2859
2023-06-14 15:28:14 -*- 2858
2023-06-14 15:28:15 -*- 2852
2023-06-14 15:28:17 -*- 2849
2023-06-14 15:28:18 -*- 2848
2023-06-14 15:28:20 -*- 2843
2023-06-14 15:28:21 -*- 2842
2023-06-14 15:28:22 -*- 2830
2023-06-14 15:28:22 -*- 2829
2023-06-14 15:28:23 -*- 2828
2023-06-14 15:28:24 -*- 2822
2023-06-14 15:28:25 -*- 2812
2023-06-14 15:28:28 -*- 2811
2023-06-14 15:28:31 -*- 2807
2023-06-14 15:28:34 -*- 2806
2023-06-14 15:28:36 -*- 2799
2023-06-14 15:28:38 -*- 2786
2023-06-14 15:28:42 -*- 2780
2023-06-14 15:28:42 -*- 2776
2023-06-14 15:28:42 -*- 2766
2023-06-14 15:28:43 -*- 2763
2023-06-14 15:28:48 -*- 2761
2023-06-14 15:28:48 -*- 2753
2023-06-14 15:28:48 -*- 2748
2023-06-14 15:28:51 -*- 2740
2023-06-14 15:28:52 -*- 2733
2023-06-14 15:28:53 -*- 2731
2023-06-14 15:28:54 -*- 2721
2023-06-14 15:29:02 -*- 2708
2023-06-14 15:29:35 -*- 2707
2023-06-14 15:29:44 -*- 2699
2023-06-14 15:37:18 -*- 2689
2023-06-14 15:38:07 --> opt-stimulated_annealing: 2689
###### [1/10] of a280[1/48]
2023-06-14 15:38:08 --> opt: 2579
2023-06-14 15:38:08 -*- 2941
2023-06-14 15:38:08 --> org-christofides: 2941
2023-06-14 15:38:09 -*- 2940
2023-06-14 15:38:09 -*- 2926
2023-06-14 15:38:09 -*- 2916
2023-06-14 15:38:09 -*- 2902
2023-06-14 15:38:11 -*- 2896
2023-06-14 15:38:13 -*- 2885
2023-06-14 15:38:14 -*- 2884
2023-06-14 15:38:15 -*- 2881
2023-06-14 15:38:16 -*- 2871
2023-06-14 15:38:16 -*- 2867
2023-06-14 15:38:18 -*- 2861
2023-06-14 15:38:19 -*- 2860
2023-06-14 15:38:19 -*- 2857
2023-06-14 15:38:20 -*- 2850
2023-06-14 15:38:28 -*- 2847
2023-06-14 15:38:28 -*- 2841
2023-06-14 15:38:28 -*- 2837
2023-06-14 15:38:31 -*- 2836
2023-06-14 15:38:32 -*- 2826
2023-06-14 15:38:33 -*- 2815
2023-06-14 15:38:34 -*- 2805
2023-06-14 15:38:34 -*- 2798
2023-06-14 15:38:35 -*- 2797
2023-06-14 15:38:38 -*- 2791
2023-06-14 15:38:38 -*- 2787
2023-06-14 15:38:42 -*- 2777
2023-06-14 15:38:43 -*- 2774
2023-06-14 15:38:46 -*- 2770
2023-06-14 15:38:46 -*- 2766
2023-06-14 15:38:49 -*- 2763
2023-06-14 15:38:49 -*- 2762
2023-06-14 15:38:51 -*- 2753
2023-06-14 15:38:52 -*- 2751
2023-06-14 15:38:56 -*- 2743
2023-06-14 15:38:58 -*- 2739
2023-06-14 15:38:59 -*- 2735
2023-06-14 15:39:02 -*- 2734
2023-06-14 15:39:03 -*- 2733
2023-06-14 15:39:08 -*- 2728
2023-06-14 15:39:18 -*- 2727
2023-06-14 15:39:24 -*- 2722
2023-06-14 15:39:26 -*- 2721
2023-06-14 15:39:33 -*- 2719
2023-06-14 15:39:41 -*- 2709
2023-06-14 15:44:31 -*- 2703
2023-06-14 15:45:08 -*- 2702
2023-06-14 15:45:10 -*- 2696
2023-06-14 15:45:53 -*- 2691
2023-06-14 15:48:08 --> opt-stimulated_annealing: 2691
--->>> a280 2657 2677.5
